what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1554663128934
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1554663128934
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1554663128934
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1554663128934
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1554663128934
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1554663128934
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1554663128934
os,sysinfo,,,"win32",1554663128950
arch,sysinfo,,,"x86_64",1554663128950
ws,sysinfo,,,"win32",1554663128950
locale,sysinfo,,,"en_US",1554663128950
processors,sysinfo,,,"4",1554663128950
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1554663128950
java.runtime.version,sysinfo,,,"1.8.0_60-b27",1554663128950
java.specification.name,sysinfo,,,"Java Platform API Specification",1554663128950
java.specification.vendor,sysinfo,,,"Oracle Corporation",1554663128950
java.specification.version,sysinfo,,,"1.8",1554663128950
java.vendor,sysinfo,,,"Oracle Corporation",1554663128950
java.version,sysinfo,,,"1.8.0_60",1554663128950
java.vm.info,sysinfo,,,"mixed mode",1554663128950
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1554663128950
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1554663128950
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1554663128950
java.vm.specification.version,sysinfo,,,"1.8",1554663128950
java.vm.vendor,sysinfo,,,"Oracle Corporation",1554663128950
java.vm.version,sysinfo,,,"25.60-b23",1554663128950
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1554663130122
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663130544
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663133029
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.ui",1554663142467
